,날짜,기업명,"긍정1,부정2",정제된 내용,score
69,2023-02-07,현대차,2,코스피에서 제벌 꺼져줘 이 개 조 가턴 회사야,11.093
70,2023-02-07,현대차,2,에휴 똥구녕차차라리 반도체 장비 주식 을 사라반도체 장비 국내 위 두산 테스나 슬슬 오르는중큰거 터질듯,34.929
71,2023-02-08,현대차,2,원래 원씩 상승하락했는데 왜 원으로 낮아졌어요,15.855
72,2023-02-08,현대차,2,시초가 최고가 오전중에 파란불전환예상,33.76499999999999
73,2023-02-01,현대차,2,외인들 매수하는척 설거지중 외인들 매수하는척 설거지중,48.77
74,2023-02-02,현대차,1,자 출발 현대차가 전기차시대에서 적어도 포드 닛산 혼다 이런거 여럿 제낀다 메이져로 발돋음 주식도 메이져로 발돋음 장투 가즈아 롸져롸져 고고고우,78.03800000000001
75,2023-02-03,현대차,2,현대차 더이상은 현대차 더이상은,11.526
76,2023-02-08,현대차,2,차트는 계속 우상향 중 단기 고점은 얼마일까,78.348
77,2023-02-01,현대차,1,현 대차게 가즈아 달리자 전기차도 잘나가고 수소차 짱이라며로보트도 만들고 근데도 주가 년동안 기었으면 됐지 가즈아 출발,84.77499999999999
78,2023-02-08,현대차,2,상방이 열렷다 내뚜껑도열린다,42.47
79,2023-02-09,현대차,2,다들 팔거아니면 오늘쳐다보지마세요 볼수록스트레스만 만땅,35.077
80,2023-02-03,현대차,1,소각 발표하면 로켓발사 갑니다 안전벨트 꼭 매세요,56.508
81,2023-02-09,현대차,2,퍼렇다 너는 뻘건게 안어울려,26.194
82,2023-02-09,현대차,1,오늘 종가에 주 샀음 잘부탁드랴용,85.823
83,2023-02-01,현대차,1,소나타 이거 대박친다운전하는 재미가 장난 아녀,67.112
84,2023-02-02,현대차,2,개똥차야 상폐가자 이 버뤄지같은 쓰레기 주식아,11.178
85,2023-02-09,현대차,2,하지마라 주식 스트레스 몸 망가고생활 안된다절대 수익 못 본다,13.512
86,2023-02-06,현대차,2,맨날 시가가 최고점,83.006
87,2023-02-03,현대차,2,미 선물 폭락중,15.094
88,2023-02-03,삼성전자,2,미 선물 폭락중,15.094
89,2023-02-03,현대차,1,미국시장 월 판매 현기 도요타 도요다 잡으러간다,83.961
90,2023-02-03,현대차,1,개미들아 대체 왜 파니 좀 맘을 담대하고 크게 먹어라,42.1
91,2023-02-07,현대차,2,테슬라랑 넘차이난다 테슬라 하루거래량 조다 현대차는 조가 아닌 천억도 안된다비교불가다,24.215
92,2023-02-02,현대차,2,보합이라도 할줄알았더니 마이너스 프로 가겄다 같은 개 저 가튼 회사야 아무도 안사고 팔기회만 노리니 주가가 이모양이지 어제 그나마 오른거 다 토해내고 앞으로도 영원히 폭망하길 빈다,19.8
93,2023-02-07,현대차,2,소각했나요 네,17.137
94,2023-02-03,현대차,2,이제 파란불 개미들 본격적으로 올라탄다 이제 파란불 개미들 본격적으로 올라탄다,66.662
95,2023-02-08,현대차,2,네이버 주식이 또 다시 역전해버렸군 현대차 현대모비스도 인공지능 개발이 필요하군,34.5
96,2023-02-02,현대차,1,오늘도 오르겠네 차근 차근 가자,85.388
97,2023-02-02,현대차,2,왜 왜 대체 왜 실제 좋아 상품 좋아 대체 왜,69.786
98,2023-02-07,현대차,1,기아 급등시작 현차도 달리게될것 형만한 아우는 없다,83.013
99,2023-02-06,현대차,1,일반적인 주주환원 반응 개미 오예 사재끼자외인 기관 오예 물량 넘기자,56.444
100,2023-02-03,현대차,1,역시 개미 털어야 간다니깐 평생 호구들,31.381
101,2023-02-03,현대차,2,아직 안팔았어 아까 에서 시간 이상 시간 준거 같은데 으이구 다시 보합으로 가자,33.102
102,2023-02-07,현대차,2,판매량 이 아니고 계약물량이라고 판매량 최고 실적 계약물량이 없다니까 자꾸 뭔소리들인지 만원갈때 뉴스봐라 계약물량 출고 대기기간오래걸린다 겁나 뉴스나오더만 지금 그 이야기는 쏙들어갔지 판매량 최고 실적 이야기만 나온다 계약물량이 꾸준히 들어와야 앞으로 실적이 받쳐준다,27.412000000000003
103,2023-02-07,현대차,1,배당금 쌔네요 현대차 주주라 행복합니다,48.804
104,2023-02-03,현대차,2,여기까진가보오 종가로 갈수록 쭉쭉빠지다가 보합내지 상승예상해봅니다,43.627
105,2023-02-03,현대차,2,현대차는 왜 처음 구매 했을때에 승차감을 유지를 못할까요 제네시스나 그랜져,48.321
106,2023-02-08,현대차,1,퍼뜩 마넌찍자 실적 전망 다좋고 오늘은 외인 기관 프로그램 다들 사모으는데개미들만 주구장창파는겨 낼은 한번날아가야지,81.617
107,2023-02-09,현대차,2,걍 현대차 망햇으면 좋겟다 작년에 조벌고 카카오랑 시총 조차이날꺼면 그냥 회사 부도나는게 더나음 아무리 주식이 내맘대로안되는거지만 정도가잇지 심각하다 네이버한테는 시총 밀리고잇고 전기차테마주는 날라가는데 전기차 파는회사는 이모양이니 그냥 미국에 공장완성될때쯤에 나스닥으로 옴겨라 진짜로,19.456
108,2023-02-07,현대차,2,오래 물타고 장투할수록 조 되는 기업 이딴걸 주식이라고 산 자신들을 탓하라,10.926
109,2023-02-09,현대차,2,잡주 개잡주다,8.821
110,2023-02-02,현대차,2,개미들 털고 갈려는가 보다 탈 탈,18.578
111,2023-02-02,현대차,2,하지 말아야할것 인생에서 하지 말아야 할것허가된 놀음 아래경마 경륜 경정 슬롯머신특히 주식 끝은 거지로 평생 후회,21.134
112,2023-02-07,현대차,2,현대차 헌차 시총 위 한심하네요,12.2
113,2023-02-03,현대차,2,개조 가턴 회사와 그오너쉐리 영원히 폭망해버려라,11.971
114,2023-02-02,현대차,1,아이오닉 만원 테슬라 만원 보조금 바뀐다 현대차 빅 피쳐,78.97099999999999
115,2023-02-09,현대차,2,전기차니 수소차니 다 갖다붙여놓고도 결국은 시총 위,16.058
116,2023-02-01,현대차,2,기아는 저평가 현대차는 고평가임 기아는 저평가 현대차는 고평가임 그래서 방향은 같더라도 차이가 나는거임,12.23
117,2023-02-07,현대차,2,들어간닷,76.157
118,2023-02-02,현대차,2,띄기 시전 야이쓰레기 같은 주식아,9.157
119,2023-02-08,현대차,2,팔어 끝났어 지수 못 따라가는것은 끝났다고 봐야지,10.705
120,2023-02-07,현대차,1,유튜버가 상승 한다고 하지않음,85.70599999999999
121,2023-02-03,현대차,2,지금 줄떼 원이라도 먹어라 답없다 아니면,29.439
122,2023-02-03,현대차,2,마지막 개미 털기,10.507
123,2023-02-09,현대차,2,금리 오르고 경기 불황이라 차가 안팔린다며 근데 차전지는 왜저리 오르는거냐 차는 안팔리고 밧데리만 팔리는거냐 이해가 안된다,17.737000000000002
124,2023-02-09,현대차,2,역시 과학이다 동시호가,41.093
125,2023-02-06,현대차,2,현대차는 개미 땜시 못올라 응집력이 없어 하락에 사서 조금만 올라도 이득보면 바로 파니까 힘이 빠져 상승력이 맥아리가 없다 엔솔봐라 우리사주 임직원이 조원치의 물량 단합하니까 쭉쭉 오르잖아,33.417
126,2023-02-08,현대차,2,영업이익 조면 뭐해 네이버에 시총추월 시대에 뒤떨어진 삼류 자동차회사라주가가 못오르는게 아닐까,15.337000000000002
127,2023-02-08,현대차,2,헌대차 망한다 년에,9.551
128,2023-02-01,현대차,2,대장주기아 인정합니다 잡주현다이주 등주 쓰레기주,15.097
129,2023-02-07,현대차,2,현차를매수하면 가난해진다 공식인듯,56.349
130,2023-02-06,현대차,2,현대가 시총 위 갈거같은데 삼성 엘지는 이미 몰락 직전이고한국 증권시장에 큰 지각변동이 일어날거 같습니다,13.721
131,2023-02-07,현대차,2,안오른다고 햇지 오른다고 한새끼들 검거하자,71.479
132,2023-02-09,현대차,2,아무리 봐도 좆된거 같네요 내일 출발할듯시초가에 빨리터세요,41.388
133,2023-02-02,현대차,2,딱 년 가격왔네 년동안 그자리이것도 능력,18.136
134,2023-02-03,현대차,1,오늘 현대 기아차가 달려야 하는 이유 기아 현차 포드 테슬라 상승률비교 상승률테슬라 포드 기아 원 너무 못올랐다 현대차 원 원 너무 못올랐다 현대 기아차는 포드 에 비해 년 실적전망도 더 좋은데 주가 상승률이 너무 낮다 오늘 현대차 기아가 허벌나게 달려야 하는 이유 출처 한국차는 해외차는 기아 년 순익증가 현대 년 순익증가 도요타 년 순익감소폭스바겐 년 순익감소 년 순익감소포드 년 순익증가 년 순익급감에 따른 기저효과 년 순익감소 영업이익률 기아 영업이익률 년 년 년 개선 현대 영업이익률 년 년 년 개선 도요타 년보다 년 영업이익률 감소폭스바겐 년보다 년 영업이익률 감소 년보다 년 영업이익률 감소포드 년보다 년 영업이익률 감소 년보다 년 영업이익률 감소,67.079
135,2023-02-01,현대차,2,현대차 고전할것 같고 지금부턴 삼성전기로 가라탄다,20.515
136,2023-02-01,현대차,2,기아 성님 오를땐더오르고 내릴땐적게내린다고 배아파 할필요없다 어째든 기아가강해야 그나마현다이는 발뒤꿈치라도 따라간다 기아가 진정한자둥차 대장주,43.278
137,2023-02-02,현대차,2,코스피에서 사라져야할 개잡주 개미들에게 개피해나 안기는 개 조 가턴 기업과 주가관리안하는 정씨 일가,9.118
138,2023-02-03,현대차,2,하지마 주식으로 스트레스 받고 몸 다망친다,10.325
139,2023-02-08,현대차,2,프로그램이 상방 벨류가 좋고 실적이 어쩌구 젖대차 같은 개잡주는 그런거없다 알겟니 그냥 개미가 사면 내리고 팔면 오른다,31.19
140,2023-02-06,현대차,2,저번주에 너거가 팔아서 그래 팔 타이밍 아니였는데 호구놈들 니들은 평생 호구다 이제 현차 나락간다,13.341
141,2023-02-02,현대차,1,자 출발 제네시스 계약줄취소 주말특근까지 취소올해 자동차판매 급감,52.911
142,2023-02-08,현대차,2,빨리 만원 넘어가쟈 원띄기가 뭐냐 쪽팔리게 현차 주주환원정책도 화끈하게 했는데 시장이 너무 반응안해주네 실적도 좋고 뭐가 부족하냐,58.428
143,2023-02-02,현대차,2,계약 줄취소 차에 맞게 가격을 받아야지 한국 시장 독점 한다고 똥바가지 씌우면 강도 아닌가,18.716
144,2023-02-01,현대차,2,온통 뉴스가 미꾸라지 한마리가 나라를 이지경으로 만드는 구나,10.129
145,2023-02-01,현대차,2,캬악 퉤 게 잡주새끼 상폐해라 장부가치 청산 바람맘스터치처럼 깜도 안되면 자진 상폐해라,22.405
146,2023-02-07,현대차,2,오늘도 어제 만큼 하락,12.289
147,2023-02-06,현대차,1,자 만 원대여 오라 매수를 시작해주마 국장은 단타지,81.298
148,2023-02-07,현대차,2,기아가 실적비례 더 저평가 이랑 배당율 보고오삼물론 올해는 현차가 더잘하겠지주력모델 산타페 소나타 나오기때매,36.614
149,2023-02-02,현대차,2,이 같은 주식은 안오름 기대접자,40.267
150,2023-02-09,현대차,2,월말 만원 나만 보이냐 일산병원 정신과 성안드레아 신경정신병원 용인정신병원 가족사랑 서울 정신과 의원 송신경정신과의원 신경정신과의원 동민신경정신과 솔빛정신과의원 대구 정신병원 인천 참사랑병원 부산 동래병원 일산병원 정신과 성안드레아 신경정신병원 용인정신병원 가족사랑 서울 정신과 의원 송신경정신과의원 신경정신과의원 동민신경정신과 솔빛정신과의원 대구,41.661
151,2023-02-02,현대차,2,개미야 생각이 잇으면 그만사라 진짜 들아 니네가 사면 안올라,17.836
152,2023-02-02,현대차,2,계약취소 그후 내가 월에 토론글에 올린걸 지금 뉴스나오네그때 현기차영맨들 한테 물어보라했죠 지금 개월이면 받는다고 이것도 아시는 영맨들에게 물어보세요 늦어도 개월이면 받고 있습니다 물론 더 줄어들겠지요 중요한거는 월 월 월 까지는 그 물량들 다 팔고 나면 그 다음부터는 실적이 곤두박질 칠꺼같네요왜냐 계약이 없거던요 한달 대 팔던 영맨들 월계약 건미만 월계약 건 다들그런건 아니겠지만 전체적으로 분위기가 이렇다네요앞으로가 더 큰일인거지요 궁금하시면 꼭 주변 현기차 영맨들에게 물어보시고 결정해도 주가는 오를지 내릴지는 모르겠지만판단은 각자 알아서들 잘하시길 이 어려운 장 다들 성투하시길,27.529
153,2023-02-01,현대차,2,계약 줄취소 독일차와 경쟁 한다고 소가 웃는다 현대차 킬러 노사장 유튜브 한번봐라 현대차 사고싶은 생각이 드는지 독일차와 비교하면 한참 떨어져 그러면서 가격은 존나 비싸 특히 신형 그랜져 그래도 제네시스는 조금 신경썼는데 그랜져 하부 독일차와 비교한거 한번봐라 천만원이 넘을 차인지 천만원 짜리를 천에 팔고 있으니 한국 소비자는 호구지,24.662
154,2023-02-09,현대차,2,슬슬 떨어질 시간이다 항상 밥 먹고 나면 하방이더라그리고 최후는 동시호가 패대기시부레,10.355
155,2023-02-01,현대차,2,외인 프로그램 매도중 개인 매수중 외인 프로그램 매도중 개인 매수중,17.872
156,2023-02-02,현대차,2,현대는 답이 없는 것인가 정말 현대는 답이 없는 것인가 정말,11.137
157,2023-02-01,현대차,2,현대차 리뷰 현재 현대차 주 보유하고 있는 상태임 학생이라서 만원 정도도 큰돈이기에 주만 갖고 있음 앞으로 소득에 여유가 생기면 추가적으로 살 의향이 있긴 하나 현재도 가격이 큰폭으로 오르고 있어서 쉽게 들어가기는 힘들 것 같음 변동폭이 상당히 커서 이래서 가격이 높은 대기업 주식을 사야하는구나 하고 배우게됨 현대차 주를 사게 된 이유는 주행 과 전기 수소 차량이 앞으로 미래 산업의 주요 핵심이라고 생각해서 이에 대한 마케팅이나 진행을 적극적으로 하는 현대차를 사게 됨 해외 주식은 크게 관심없음 이러한 부분에 있어서 기아 자동차도 현재 매수 고려중임 암튼 좋은 종목임 추천추천,51.414
158,2023-02-02,현대차,2,참 재미없는 종목이네요 너무 지루하고 재미도 없고 감동도 없고 후회중,15.954999999999998
159,2023-02-03,현대차,1,원 상승,85.874
160,2023-02-06,현대차,2,두근두근 곧 초에 살수있을거 같아요,77.95899999999999
161,2023-02-02,현대차,2,맨날 음봉이냐 이놈의주식은,9.338
162,2023-02-02,현대차,2,층 오긴 오냐 안오냐 층 주변 여럿있는데존버가 답이라면서 서로 긍정적으로 술한잔 했다 집에 돌아오는 길이 씁쓸했다 다들 집에 가면서 씁쓸 했겠지 오긴 오냐,21.977
163,2023-02-02,현대차,2,똥싸고 있네,10.85
164,2023-02-01,현대차,2,내일 미 기준금리 올림개망하는거제,33.246
165,2023-02-05,현대차,1,애플페이 발표로 현대카드 대주주 현대차 월요일 상한가 치나요 애플페이 발표로 현대카드 대주주 현대차 월요일 상한가 치나요,80.378
166,2023-02-08,현대차,2,뭘 상방이 열려 위로 한개 호가도 못뚫고 잇구만 게소리좀 작작해 찬티새끼들아,29.306
167,2023-02-03,현대차,1,주봉 일선만 뚫고 올라가면 금방 주봉 선 뚫을 기세,85.69
168,2023-02-07,현대차,2,아직도 주식 하나요 한번만 더 또는 본전만 한다가 말아 먹어니 주식 시장 떠나요,17.668
169,2023-02-02,현대차,1,누르기 공매 누르지 말고 매수 해라 저가에,77.489
170,2023-02-03,현대차,2,이미 소각했냐,15.796
171,2023-02-08,현대차,2,삼전에 반도 못따라가네 개잡주,8.924999999999999
172,2023-02-03,현대차,2,오늘도 하루종일장난치다가 마감동시호가에 밑장빼기하겠지 코스피 최고의 쓰레기주,10.835
173,2023-02-02,현대차,2,황망하네 삼가 고인의 명복의 명복을 빈다 개잡차,9.426
174,2023-02-06,현대차,2,공매도도 안 치는구만 왜 내려감 코스닥 개잡주마냥,9.435
175,2023-02-08,현대차,2,이 좋은 장에 혼자 이지랄 하고 잇네 같은 개잡주 쉑,9.139
176,2023-02-01,현대차,2,아시죠 이쓰레기주 오늘어떻게 움직일지 기대접어삼,36.332
177,2023-02-03,현대차,2,왠일이냐 천원이나 오르고 응 막판 보합 에서 원,18.799
178,2023-02-09,현대차,2,대현차 이걸 대도체 왜사,10.106000000000002
179,2023-02-02,현대차,1,시장 월판매 현대차 기아 월 역대 최고판매 현대자동차와 기아가 미국 시장에서 월 기준 역대 최다 판매 실적을 올렸다 현대차 미국판매법인 은 지난 월에 작년 동월 대비 증가한 만 천 대를 팔았다고 일 현지시간 발표했다 현대차는 이로써 개월 연속 월간 단위판매 신기록을 세웠다 현대차 판매량에는 제네시스가 빠진듯 엘란트라 하이브리드 자동차 판매량이 년 전과 비교해 급증한 것을 비롯해 코나 전기차 싼타페 아이오닉 등의 판매가 크게 늘었다 기아는 작년 동월과 비교해 증가한 만 천 대를 팔았다,77.017
180,2023-02-02,현대차,2,이러지 맙시다 온갖 호재는 다 깔아놓고 이건 밑장 빼기지,15.115
181,2023-02-02,현대차,2,이래서 국장 하면 안된다는거다 헬조선은 인구감소로 자연 소멸할것이며 핵전쟁으로 아예 존재도 없이 폭망하길 빈다,10.259
182,2023-02-07,현대차,2,시가총액 위라니 안타깝소 그래도 삼성 아니면 현대라는 소리 많이 하는데 실제는 시총 위,12.696
183,2023-02-03,현대차,2,미국 주식을 사라 전기차 아무거나 사도 급등이다 주식 쓰레기다,15.073
184,2023-02-08,현대차,2,난 현대카드 보고 현대카드 보고 이 주식 샀는데본전으로 맘 비우고 있어야 하나보다,19.845
185,2023-02-09,현대차,2,하루종일 이짓거리할라고 기다렸나보지,14.357
186,2023-02-01,현대차,2,층 재탈환 임박 쓰레기 개잡주쉑,11.287
187,2023-02-03,현대차,2,한 호가에 원 단위로 바뀌고 매물벽 쌓아놓고 갈것도 더 못감,28.044
188,2023-02-06,현대차,2,급발진봐라 절대사지마라 자살차를만드네,20.881
189,2023-02-06,현대차,2,급발진선든주자회사,68.68900000000001
190,2023-02-03,현대차,2,배당 원 드디어 탈출 성공,84.799
191,2023-02-01,현대차,2,내일 파월 입방정에 또 개박살 이런게 무슨 대형주냐 자진 상장폐지해라,10.559
192,2023-02-07,현대차,2,진짜 무당누님도 용하네 흉 흉,12.107
193,2023-02-07,현대차,2,현대 등신주 지수역행,24.049000000000003
194,2023-02-08,현대차,2,곧 간다 골로,85.599
195,2023-02-03,현대차,2,현대차 지금 보고있으시다면 현대차 분 모르고있던 중요정보들 보기쉽게정 리해서 올려주시니 확인하세요 아직볼게 남 았다고 하네요,75.754
196,2023-02-03,현대차,2,수익 먹고 갑니다 월요일 죽음의 증시 대피 잘 하십시요 심상치 않네요 수고,22.265
197,2023-02-01,현대차,2,현기차가 내수용 차를 대충 만드는 이유 대가리 피도 안말것이 누구한테 욕설이냐 호루세퀴가 정신줄 놓았구나쥐도 새도 모르게 묻어주까,17.628
198,2023-02-01,현대차,2,젖대차 오늘 보합 또는 음전 예상한다 왜냐 보면알어,12.582
199,2023-02-06,현대차,2,이 가튼 잡주는 욕을 안할래야 안하기가 힘들다 진심임,11.389
200,2023-02-09,현대차,2,기냥 웃고 말자,57.483
