,날짜,기업명,정제된 댓글,상승_하락
90,2023-02-09,삼성전자,삼전 평단 원에 매수해서 수익 중 삼전은 딱 최소 만전자에 매수하면 되는 거임 만전자에는 절대 매수 안 함,-1
91,2023-02-09,삼성전자,전우여 삼성전자 우 를 살리자 살리자,-1
92,2023-02-09,삼성전자,다시 만원 전자온다 기다려라 오만원 전자 올때 담궈라,-1
93,2023-02-09,삼성전자,생각보다 안빠지네 오후에 빠짐,-1
94,2023-02-09,삼성전자,생각보다 안빠지네 이러다 오르것다 된장,-1
95,2023-02-09,삼성전자,개떡락계시록 장 내가 새 꼭대기와 새 바닥을 보니 처음 꼭대기와 처음 바닥이 없어졌고 니 계좌도 다시 있지 않더라,-1
96,2023-02-09,삼성전자,이찍들아 어제그제 오른건 토해내야지 그따구로 투표하고 주식 오르길 바라노,-1
97,2023-02-09,삼성전자,그만 좀 팔지,-1
98,2023-02-09,삼성전자,시벌 돈 벌기 힘드네 삼전아 힘들다,-1
99,2023-02-09,삼성전자,이 주식 언제까지 들고 있어야 하나 벌써 몇년째야 지친다,-1
100,2023-02-09,삼성전자,하이닉스 오를땐 절반만 오르고 내릴땐 같이,-1
101,2023-02-09,삼성전자,타도 삼성증권 한국증권 삼성 한국증권의 공매도질,-1
102,2023-02-09,삼성전자,매도 전환 손절후 매도로 수익중,-1
103,2023-02-09,삼성전자,재용아 능력 없으면 내려와라 능력의 한계가 온것 같다 얼릉 내려와라,-1
104,2023-02-09,삼성전자,경제가 심각히 안좋다 빚투는 매도할것,-1
105,2023-02-09,삼성전자,삼전은 만원대 사서 만원 팔면 용돈벌이는 할수 있음 고로 지금은 팔때이지 살때가 아님,-1
106,2023-02-09,삼성전자,주식을 왜 함 퇴직금 억 욕나와,-1
107,2023-02-09,삼성전자,외인이 만주 매수중인데 왜 하락하지 공매도인가,-1
108,2023-02-09,삼성전자,주식,-1
109,2023-02-09,삼성전자,주식 한다는 놈들이 주가조작 년 지지하냐 호구들아 호구야,-1
110,2023-02-09,삼성전자,삼성전자 우 살려내야 합니다 제발,-1
111,2023-02-09,삼성전자,매도 매도라고요,-1
112,2023-02-09,삼성전자,삼전 어제 원 오른건 유죄 오늘은 죄값을 달게 받아야지,-1
113,2023-02-09,삼성전자,전우들이여 삼성전자 우 살리자 동지들이여 살려줘라,-1
114,2023-02-09,삼성전자,그동안 너무 많이 올랏어 멀바임마 튀어,-1
115,2023-02-09,삼성전자,년 삼전 무조건 만전자 간다 그 이상간다 외인 기관들은 이미 만원때부터 모으기 시작했다 외인기관들은 배수익목표로 삼전을 만전자로 올린다 무조건 들고 만원 이상에 팔어서 수익봐라,-1
116,2023-02-09,삼성전자,어늘이 그날이구나 옵션만기주식장은 세력 하늘짓들이 안빠귀냐지겹다 얼릉내려내일 오를건데 뭐,-1
117,2023-02-09,삼성전자,거봐 나스닥선물 부터 올라가지 외국인들이 매수했다면 오늘 시초가부터 상승이지 오늘도 대박,-1
118,2023-02-09,삼성전자,한달사이 대차잔고 증가 언론에서는 만원 간다고 홍보 그럼 손해보는 사람은 아무도 없게,-1
119,2023-02-09,삼성전자,동지들이여 삼성전자우를 살리자 살리자,-1
120,2023-02-09,삼성전자,나스닥폭락 삼성전자 이상 급락,-1
121,2023-02-09,삼성전자,고진감래,-1
122,2023-02-09,삼성전자,미선 빨간불 아싸,-1
123,2023-02-09,삼성전자,오늘은 원 마무리지 주체성 없는 주식,-1
124,2023-02-09,삼성전자,미국시장과 다르게 시작 야간선물 매수 오늘장 대박날듯 개인들 하락배팅하면 외국인들 매수 어제처럼,-1
125,2023-02-09,삼성전자,오늘종가를 밑으로끝날건지 제일 중요하날 이네요,-1
126,2023-02-09,삼성전자,유가 반등 지속 추가 상승시 추세 역전 가능성 그래서 오늘 매우 중요하다 한방에 돌파 어려울 것으로 보는데 일단 현 위치가 매우 중요하다 박스권 회귀 상태에서 현 위치 추가 돌파하면 추세가 뒤집어 진다,-1
127,2023-02-09,삼성전자,호주달러 재폭락 조점 유로는 아직 미국채 따라 움직임이 상이해질 것 지금 유가가 조금 심상치 않다 유가 급등인데 씨알이 안먹히고 있다 호주달러 재폭락 가능성 커졌고요 유로는 조금 더 지켜봐야,-1
128,2023-02-09,삼성전자,호주달러 재폭락 조점 유로는 아직 미국채 따라 움직임이 상이해질 것 지금 유가가 조금 심상치 않다 유가 급등인데 씨알이 안먹히고 있다 호주달러 재폭락 가능성 커졌고요 유로는 조금 더 지켜봐야,-1
129,2023-02-09,삼성전자,미국채 반등 성공 조금 더 지속될 것 주요 지지대인 일선 붕괴이후에 파 반등 정도 보고 있어요 반등 좀 더 이어질 것으로 판단,-1
130,2023-02-09,삼성전자,오션브릿지 추천종목 상,-1
131,2023-02-09,삼성전자,주식야기나하셔 반도체 부품회사오션브릿지 추천 관심가져봐라 한달후 삼배 후회말라,-1
132,2023-02-09,삼성전자,반도체부품업체 오션브릿지 관심가져라 나중 후회할거다,-1
133,2023-02-09,삼성전자,어제오른거보다 오늘또 더 떨어지것지 징글징글하다 원금 빨리빼고주식 그만하고싶다 쫌 층 언제 오냐고 만전자간다매,-1
134,2023-02-09,삼성전자,어이 개관 외국인 니들이 퍼질러 싼똥 치워라 언능,-1
135,2023-02-09,삼성전자,차이가 없네 한계점에 도달했네,-1
136,2023-02-09,삼성전자,인플레이션 소비가 많아도 인플레이션이 일어나겠지만 생산이 줄어도 인플레이션이 일어난다,-1
137,2023-02-09,삼성전자,비교 시총과 순이익만 보면삼전은 배 올라야,-1
138,2023-02-09,삼성전자,반도체업체는 오션브릿지가 삼성에서 관심있거보슈,-1
139,2023-02-09,삼성전자,나스닥 폭락 엿 됐네 우짜냐,-1
140,2023-02-09,삼성전자,내일장 대응방법 나스닥 폭락,-1
141,2023-02-09,삼성전자,삼성갤럭폰에도 비서 가 있다 빅스비 이름부터 쉬운걸로바꾸자빅스비 설치를 좀더쉽게하자빅스비 사용법을 좀더쉽게하자빅스비 서비스분야를 대폭늘리자빅스비 이용시 간단한광고를넣어서 돈벌자,-1
142,2023-02-09,삼성전자,삼전 대박 늬우스,-1
143,2023-02-09,삼성전자,상식 오르면 내리고 내리면 오르는 것이 주식인데 돈을 벌었으면 팔려고 하고손해를 봤으면 안 팔려고 하고비싸면 안사고 싸면 사고 싶어하고누구나 시간은 아깝고 아까우면 급해지고 그래서 가격이 높으면 팔려는 놈이 많고낮으면 사려고 하는 자가 많지만 물려 있다면 선수들이 사겠지 주식을 상식으로 하면 돈 벌겠지 개 종목중에서 개 정도가 활발하게 요동을 친다 나머지는 잠을 자고 주식을 한다는 것은 내가 가진 종목이 잠을 자는 지아니면 요동을 치는 지에서 갈리는 데 내 종목이 잠을 잘지 달리기를 할지는 아무도 모른다 선수들이 잘 맞추다고 떠들어 대는 데 글쎄 뭐 잘 맞 출 수도 있고 긴 기다림 주식은 힘들어,-1
144,2023-02-09,삼성전자,주식을 해보니까 오르락 내리락호가창에도 단주매매를 하며 오르락 내리락 정신없이 만들고차트도 오르락 내리락 정신없이 날뛰는 데 여기서 고점 맞추기도 힘들고 저점 맞추기도 힘들다 두더지 게임처럼 어디서 튀어 오르거나 땅속으로 숨어버릴지 알기가 힘들다 정신 바짝차리고 오래 하면 맞출수 있을려나두더지나 개임하는 자나 둘다 오래되면 점점 맞추기가 쉽지 않지 않나 맞추려는 자와 숨을려나 자의 싸움 그래서 더욱더 정신없이 날뛰지 새들이 진화하면 잡아먹는 독수리도 똑같이 진화를 하지 아무튼 그래 여기에서 진정한 주포는 누구일까 그 주포는 뭐를 노리는 걸까 가끔 미꾸라지가 물을 흐린다고 한들 그 고인 물이 어디 안간다 물을 없애버리는 것은 해지 아무튼 그래,-1
145,2023-02-09,삼성전자,위로 물린 개미물량 억도 아니고 조 이상 파러 수익실현,-1
146,2023-02-09,삼성전자,나스닥이 슬슬 올라오네,-1
147,2023-02-09,삼성전자,삼성도 좋은 기업 왜냐고 알 넘,-1
148,2023-02-09,삼성전자,삼성전자 팔지 맙시다 만원 이상 오를때가지 존버 합시다 한주도 팔지 맙시다,-1
149,2023-02-09,삼성전자,챗 열풍까지 가세에 삼성전자 계속 상승 챗 열풍까지 가세했다 삼성전자가 지난해부터 로봇 투자를 강조해온 데다 챗 개발이 가시화하며 인공지능 반도체 수요가 폭증할 것이란 전망이 나오고 있다 챗 는 대규모 데이터 학습과 빠른 연산이 가능해 기존 반도체가 아닌 에 특화된 전용 반도체가 필요하다 삼성전자가 주목하는 시장이다 앞서 김재준 삼성전자 메모리사업부 부사장은 분기 컨퍼런스콜에서 자연어 기반 대화형 서비스가 미래 메모리 수요에 긍정적인 영향이 있을 것 이라며 기술에 기반한 모델의 학습과 추론을 위해서는 대량 연산이 가능한 고성능 프로세스와 이를 지원하는 고성능 고용량 메모리 조합이 필수적 이라고 말했다 시장조사업체 가트너에 따르면 년 억달러 조원 규모였던 반도체 시장 규모는 올해 억달러 조원 규모로 배 이상 커질 것으로 전망된다 년 후인 년에는 억달러 약 조원 까지 성장할 것으로 보인다,-1
150,2023-02-09,삼성전자,을파소 반도체 세계 위는 대만 잠재 위는 중국 인도 삼성전자는 반도체 분야에서 세계 위가 아닌 위 국뽕에 취하지 마세요 잠재적 역량국가 위는 중국 위는 인도 삼성전자의 반도체 대단위 평택공장 건설은 약일까 독일까 메모리가 됐던 비메모리 분야가 됐던 무리한 투자가 아니어야 할텐데 걱정임 인도의 대규모 반도체 투자규모 상상초월 작년 억달러 즉 조 투입해서 반도체 공장 완공함 미국 경쟁사도 인도에 조 투입해서 반도체 공장 설립 검토중이라는데 이게 우리 삼성에 극약 될 수도 한국은 지정학적 리스크로 인해 투자국에서 제외,-1
151,2023-02-08,삼성전자,언잰가는 마넌 가것지 그동안에 배당금 착착 받아묵으면 될것,1
152,2023-02-08,삼성전자,깔린 게 주식인데 반도체인공지능,1
153,2023-02-08,삼성전자,넌 쳐물려있는 주식수를 가족한테 알리믄 안돼 잣나게 쳐물려있다고 알리믄 안돼 그러다니 가족들 쪽팔려서 우찌 사노 넌 가족에게 알려선 안돼,1
154,2023-02-08,삼성전자,오늘 장 좋네 지화자,1
155,2023-02-08,삼성전자,만전자가 되면 함 올라탈까 노노 경기가 안좋아 이나라 저나라 불경기인데 투자를 왜혀 차라리 금투자 하랑께 여기저기 지진에 쌈박질에 무기값만 올라가제 무기를 장만 혀야혀 화약을 쟁여 놨다가 처들어 오면 쏴야제 먼 전자제품을 사겠노 무기사랑께 화약무기 전쟁에 중요한것은 핵무기 화약이 필요혀 똥으로 화약만들어 폭탄만들던 그런날이 올지 몰라 인간은 이가 있어야 밥먹고 처들어 오면 무기가 있어야 이긴다니까 무기여,1
156,2023-02-08,삼성전자,개돼지들 믿어서 그런건지 너무 막 나가간다,1
157,2023-02-08,삼성전자,삼전게시판에서 밥그릇 걷어 차이고 개돼지들 쏙 들어갔네하염없이 불쌍한 개돼지들 우짜노,1
158,2023-02-08,삼성전자,만전자는 언제 갈것 같습니까 고수님들,1
159,2023-02-08,삼성전자,안그래도주식떨어져서죽겠는데 저시발개돼지들땜에주식말아먹네 처주길새이들,1
160,2023-02-08,삼성전자,아직도 삼전사는 흑우없지,1
161,2023-02-08,삼성전자,뉴스 떳네요 코스닥 올라도 빚투 개미들 떨어질 것 입력 수정 배태웅 기자 태웅이 일마 삼전 주주들 조롱하냐 너 퇴직금 억 나오노 경장하구먼 공감하면 추천 꾹,1
162,2023-02-08,삼성전자,이이 개관 외국인 니들이 싼똥 치워라 언능,1
163,2023-02-08,삼성전자,야 위에 매물대 봐라 가겠냐,1
164,2023-02-08,삼성전자,앞으로는 반도체가 주도주 반도체 설계 반도체 장비 반도체 패키징 반도체 유통 이 개공정중반도체 장비는 중국제재로 잡음이 많으니 당분간 빼고반도체 설계 반도체 패키징 반도체 유통 이리 계단식 상승을 하며 가는 장세그간 년간 배터리주들 초거품이니 논란속에서도 미래가치 다 반영하며 가는동안반도체는 계속 눌리며 유동성장세에도 미래가치는 고사하고 실적반영도 못했고하락장에서또한 갖은 악재로 대부분 바닥에 바닥까지 떨어진 상태인데 차산업의 가장큰 수혜주는 누가뭐라해도 반도체이지수요가 배터리 배이상의 수요가 몇십년간 지속되는 분야인데 앞으로 계단식 상승하며 가다 모든 악재 하나둘씩 호재로 바뀌고미래가치 반영하며 코로나 전고점 뚤고 전고점의 두배까지는 충분히 간다,1
165,2023-02-08,삼성전자,삼성전자 만원일땐 비싸게주고 잘사더니 폭락해서 만원 만원일땐 안사는 이유가 뭔가요 주식으로 돈잃는 개돼지들 보면 꼭 그러던데,1
166,2023-02-08,삼성전자,삼전은요 월 일까지 안착못하면은 조정들어갑니다 또 종지수가 내일 모래 이자리잘보고대응 하세요 월 일 일 안에 안착시다시상방 아니면은 무조건 조정들어갑니다,1
167,2023-02-08,삼성전자,요즘 다시 주식이 올라가는것 같은데 저는 언제쯤 다시 불장이 올까요 손실본거 복구만해도 다행인것같아요,1
168,2023-02-08,삼성전자,이 무거운주식이 고점 프로까지 올라갔다 미쳤다,1
169,2023-02-08,삼성전자,삼성전자 다시 만원 갑니다 삼성전자 주주님들 올해 년은 삼성전자가 최악의 실적을 예상합니다 주가는 바닥을 칠껍니다 하지만 걱정마세요 바닥친 주식은 반드시 어떤주식이든 배는 오릅니다 삼성전자 바닥은 만원대입니다 삼성전자 주주님들은 꼭 보시고 대응방법도 올렸습니다 가만히 있으면 본전 찾기도 힘듭니다 꼭 보시고 대응하세요 카페에 차트까지 올렸습니다,1
170,2023-02-08,삼성전자,삼성전자우 살리자 냉킁 오시오,1
171,2023-02-08,삼성전자,매도 매도 매도 급 급 매도후회말고,1
172,2023-02-08,삼성전자,좃잡고 빨아 올려 으로 해도 너무한다,1
